suite	passed	failed	total
tests/architecture/dev-custody-root.test.ts	16	0	16
tests/architecture/dev-deployment-register.test.ts	6	0	6
tests/architecture/dev-real-provider-only.test.ts	3	0	3
tests/architecture/dev-runner-provider-set.test.ts	6	0	6
tests/architecture/dev-secret-files.test.ts	2	0	2
tests/architecture/p3-production-database-principals.test.ts	2	0	2
tests/architecture/s10-carrier-erasure-red.test.ts	13	0	13
tests/architecture/t09-synthesis-entrypoint.test.ts	4	0	4
tests/architecture/vps-deployment-baseline.test.ts	31	0	31
tests/integration/critique-database.test.ts	2	0	2
tests/integration/dev-api-environment.test.ts	9	1	10
tests/integration/dev-api-process.test.ts	5	5	10
tests/integration/dev-deployment-register.test.ts	15	0	15
tests/integration/dev-provider-panel.test.ts	3	1	4
tests/integration/dev-secret-files.test.ts	8	0	8
tests/integration/evaluator-database.test.ts	21	0	21
tests/integration/t16-algorithm-register.test.ts	20	1	21
tests/unit/api-operational-error.test.ts	9	0	9
tests/unit/api-provider-discovery.test.ts	5	0	5
tests/unit/critique-s08.test.ts	15	0	15
tests/unit/dev-api-environment-cli.test.ts	7	0	7
tests/unit/dev-cli-provider-panel.test.ts	8	0	8
tests/unit/dev-runner-process.test.ts	8	0	8
tests/unit/dev-runner-reconciliation.test.ts	8	0	8
tests/unit/dl7-f7-boot-custody.test.ts	14	0	14
tests/unit/f-t9b-3-empty-basis-floor.test.ts	16	0	16
tests/unit/obs-l2-s04-zone.test.ts	17	0	17
tests/unit/production-environment-floors.test.ts	24	0	24
tests/unit/prompt-injection-corpus.test.ts	253	0	253
tests/unit/t15-eval-harness.test.ts	50	0	50
tests/unit/v20-optional-primary-provider-keys.test.ts	11	0	11
tests/unit/v28-cost-envelope.test.ts	35	0	35
tests/unit/v28-provider-target-price.test.ts	11	0	11
tests/unit/v30-support-provider.test.ts	30	0	30
tests/unit/v9-deployment-mode.test.ts	201	0	201
tests/unit/v9-provider-credential-files.test.ts	23	0	23
