COMMAND     PID           USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    628 vladmihaimiron   10u  IPv4 0x9d4d2a7a30bcb423      0t0  TCP *:62418 (LISTEN)
rapportd    628 vladmihaimiron   11u  IPv6 0x9061d5792406fd55      0t0  TCP *:62418 (LISTEN)
ControlCe   700 vladmihaimiron   10u  IPv4 0xb14709bafda6c385      0t0  TCP *:7000 (LISTEN)
ControlCe   700 vladmihaimiron   11u  IPv6 0xd921633b180e7ffc      0t0  TCP *:7000 (LISTEN)
ControlCe   700 vladmihaimiron   12u  IPv4 0x287c445c0d773915      0t0  TCP *:5000 (LISTEN)
ControlCe   700 vladmihaimiron   13u  IPv6 0x8a00c6cbe9b85f3d      0t0  TCP *:5000 (LISTEN)
node        943 vladmihaimiron   21u  IPv4 0xa432e9259ee9a361      0t0  TCP 127.0.0.1:9797 (LISTEN)
Ollama      981 vladmihaimiron    5u  IPv4 0xbb4ebc4023c0883f      0t0  TCP 127.0.0.1:49191 (LISTEN)
ollama     1117 vladmihaimiron    3u  IPv4 0x8f0bd67126aa34fb      0t0  TCP 127.0.0.1:11434 (LISTEN)
node      33667 vladmihaimiron   22u  IPv4 0x5248b3b893ebb1ca      0t0  TCP 127.0.0.1:3001 (LISTEN)
node      45309 vladmihaimiron   18u  IPv4 0xc7b44d2ddabb148d      0t0  TCP 127.0.0.1:8795 (LISTEN)
node      45309 vladmihaimiron   22u  IPv4  0x1ed9e2045d88a92      0t0  TCP 127.0.0.1:8796 (LISTEN)
node      45309 vladmihaimiron   23u  IPv4 0xf8659096c45be58d      0t0  TCP 127.0.0.1:8791 (LISTEN)
node      45309 vladmihaimiron   24u  IPv4 0xaa49dcc435396aaf      0t0  TCP 127.0.0.1:8793 (LISTEN)
node      45309 vladmihaimiron   25u  IPv4 0xf6c86fbca1597448      0t0  TCP 127.0.0.1:8794 (LISTEN)
node      45309 vladmihaimiron   26u  IPv4 0x5c752f4ad5b1da36      0t0  TCP 127.0.0.1:8792 (LISTEN)
node      45592 vladmihaimiron   52u  IPv4 0x15384ebc1c6fc41a      0t0  TCP 127.0.0.1:8790 (LISTEN)
